Term,Section,Former,Title,Credits,Instructional Method,Location,Start Date,End Date,Meeting Days,Start Time,End Time,Instructor(s),Seats Remaining,GERS,Purpose,Prequisites,Notes,Sort,Courses ID
Fall 2017 - Day,ART-124-02,ART-24,Drawing,4,STU,RAB PTS,08/22/17,12/05/17,MW,11:30AM,01:20PM,Mr. Michael Brodeur,FULL,VP,undergraduate day,,,1,2652
Fall 2017 - Day,ART-124-02,ART-24,Drawing,4,EXAM,RAB PTS,12/11/17,12/11/17,M,12:00PM,02:30PM,,FULL,VP,undergraduate day,,,2,2652
Fall 2017 - Day,ART-130-01,ART-26,History of Western Art I,4,LEC,RAB LLR,08/22/17,12/05/17,MWF,09:30AM,10:20AM,Anatole Upart,23,VP,undergraduate day,,,1,2654
Fall 2017 - Day,ART-130-01,ART-26,History of Western Art I,4,EXAM,RAB LLR,12/13/17,12/13/17,W,08:30AM,11:00AM,,23,VP,undergraduate day,,,2,2654
Fall 2017 - Day,ART-131-02,ART-26,History of Western Art II,4,LEC,RAB LLR,08/22/17,12/05/17,MWF,10:30AM,11:20AM,Anatole Upart,14,VP,undergraduate day,,,1,2655
Fall 2017 - Day,ART-131-02,ART-26,History of Western Art II,4,EXAM,RAB LLR,12/11/17,12/11/17,M,08:30AM,11:00AM,,14,VP,undergraduate day,,,2,2655
Fall 2017 - Day,ART-205-01,ART-33,Photography I,4,STU,RAB SMR,08/22/17,12/05/17,TR,09:30AM,11:20AM,Professor Terri L. Bright,FULL,VP,undergraduate day,ART-111,,1,2663
Fall 2017 - Day,ART-205-01,ART-33,Photography I,4,ADD,RAB PHS,08/22/17,12/05/17,,,,,FULL,VP,undergraduate day,ART-111,,2,2663
Fall 2017 - Day,ART-205-01,ART-33,Photography I,4,EXAM,RAB SMR,12/08/17,12/08/17,F,08:30AM,11:00AM,,FULL,VP,undergraduate day,ART-111,,3,2663
Fall 2017 - Day,ART-225-01,,Digital Illustration,4,STU,RAB DSS,08/22/17,12/05/17,TR,09:30AM,11:20AM,Mr. Zachary T. Franzen,FULL,,undergraduate day,ART-111 and 124,,1,4889
Fall 2017 - Day,ART-225-01,,Digital Illustration,4,EXAM,RAB DSS,12/08/17,12/08/17,F,08:30AM,11:00AM,,FULL,,undergraduate day,ART-111 and 124,,2,4889
Fall 2017 - Day,ART-237-01,ART-56,Arts of Baroque & Rococo,4,LEC,RAB LLR,08/22/17,12/05/17,TR,10:00AM,11:15AM,Dr. Carolyn Watson,17,VP,undergraduate day,,,1,2677
Fall 2017 - Day,ART-237-01,ART-56,Arts of Baroque & Rococo,4,EXAM,RAB LLR,12/12/17,12/12/17,T,08:30AM,11:00AM,,17,VP,undergraduate day,,,2,2677
Fall 2017 - Day,ART-301-01,ART-59,Life Studies,4,STU,RAB PTS,08/22/17,12/05/17,TR,11:30AM,01:20PM,Mr. Michael Brodeur,8,,undergraduate day,ART-125,,1,2683
Fall 2017 - Day,ART-301-01,ART-59,Life Studies,4,EXAM,RAB PTS,12/08/17,12/08/17,F,12:00PM,02:30PM,,8,,undergraduate day,ART-125,,2,2683
Fall 2017 - Day,ART-322-01,ART-30,Typography,4,STU,RAB DSS,08/22/17,12/05/17,MW,11:30AM,01:20PM,Mr. William David R. McClain,2,,undergraduate day,ART-111,,1,2688
Fall 2017 - Day,ART-322-01,ART-30,Typography,4,EXAM,RAB DSS,12/11/17,12/11/17,M,12:00PM,02:30PM,,2,,undergraduate day,ART-111,,2,2688
Fall 2017 - Day,ART-330-01,ART-76,Art Criticism,4,LEC,RAB LLR,08/22/17,12/05/17,TR,08:30AM,09:45AM,Dr. Carolyn Watson,FULL,,undergraduate day,2 upper level art history courses,,1,2689
Fall 2017 - Day,ART-330-01,ART-76,Art Criticism,4,EXAM,RAB LLR,12/08/17,12/08/17,F,08:30AM,11:00AM,,FULL,,undergraduate day,2 upper level art history courses,,2,2689
Fall 2017 - Day,ART-401-01,ART-75,Studio Seminar,4,STU,RAB LLR,08/22/17,12/05/17,TR,01:30PM,03:20PM,Team-Taught,FULL,,undergraduate day,"ART-113, 124, 130, and 201, 204, 206, 210 or 221",,1,
Fall 2017 - Day,ART-401-01,ART-75,Studio Seminar,4,ADD,RAB LLR,08/22/17,12/05/17,,,,Mr. William David R. McClain,FULL,,undergraduate day,"ART-113, 124, 130, and 201, 204, 206, 210 or 221",,2,
Fall 2017 - Day,ART-401-01,ART-75,Studio Seminar,4,EXAM,RAB LLR,12/12/17,12/12/17,T,12:00PM,02:30PM,Mr. Michael Brodeur,FULL,,undergraduate day,"ART-113, 124, 130, and 201, 204, 206, 210 or 221",,3,
Fall 2017 - Day,ART-401-01,ART-75,Studio Seminar,4,,,,,,,,Professor Terri L. Bright,FULL,,undergraduate day,"ART-113, 124, 130, and 201, 204, 206, 210 or 221",,1,
Fall 2017 - Day,AST-211-01,,Media in Asia,4,LEC,FUR 227,08/22/17,12/05/17,T,02:30PM,04:30PM,Dr. Tami Blumenfield,FULL,VP WC,undergraduate day,,instructor permission now required,1,5208
Fall 2017 - Day,AST-211-01,,Media in Asia,4,EXAM,FUR 227,12/08/17,12/08/17,F,03:30PM,06:00PM,,FULL,VP WC,undergraduate day,,instructor permission now required,2,5208
Fall 2017 - Day,AST-221-01,,South Asian Music & Pop Cltr,4,LEC,FUR 118,08/22/17,12/05/17,MWF,01:30PM,02:20PM,Dr. Edward M. Yazijian,6,VP WC,undergraduate day,,,1,4332
Fall 2017 - Day,AST-221-01,,South Asian Music & Pop Cltr,4,EXAM,FUR 118,12/13/17,12/13/17,W,12:00PM,02:30PM,,6,VP WC,undergraduate day,,,2,4332
Fall 2017 - Day,AST-250-01,,Human Development in Asia,4,LEC,FUR 118,08/22/17,12/05/17,MWF,09:30AM,10:20AM,Dr. Veena Khandke,19,HB WC,undergraduate day,,,1,5123
Fall 2017 - Day,AST-250-01,,Human Development in Asia,4,EXAM,FUR 118,12/13/17,12/13/17,W,08:30AM,11:00AM,,19,HB WC,undergraduate day,,,2,5123
Fall 2017 - Day,AST-470-01,AS-75,Seminar in Asian Studies,4,SEM,JHN 111I,08/22/17,12/05/17,M,02:30PM,05:00PM,Dr. Kate Kaup,10,,undergraduate day,,,1,2695
Fall 2017 - Day,AST-470-01,AS-75,Seminar in Asian Studies,4,EXAM,JHN 111I,12/11/17,12/11/17,M,03:30PM,06:00PM,,10,,undergraduate day,,,2,2695
Fall 2017 - Day,BIO-075-01,BIO-75,Seminar in Biology,0,SEM,PYR 143,08/22/17,12/05/17,TR,11:30AM,12:45PM,Dr. Jason Rawlings,10,,undergraduate day,,,1,2700
Fall 2017 - Day,BIO-102-01,BIO-16,Biology and the Environment,4,LEC,PYR 028,08/22/17,12/05/17,MWF,11:30AM,12:20PM,Dr. Dennis Haney,21,NE NWL,undergraduate day,,,1,2702
Fall 2017 - Day,BIO-102-01,BIO-16,Biology and the Environment,4,LAB,PYR 141,08/22/17,12/05/17,T,02:30PM,05:20PM,Dr. Dennis Haney,21,NE NWL,undergraduate day,,,2,2702
Fall 2017 - Day,BIO-102-01,BIO-16,Biology and the Environment,4,EXAM,PYR 028,12/11/17,12/11/17,M,12:00PM,02:30PM,,21,NE NWL,undergraduate day,,,3,2702
Fall 2017 - Day,BIO-102-02,BIO-16,Biology and the Environment,4,LEC,PYR 028,08/22/17,12/05/17,MWF,10:30AM,11:20AM,Dr. Gregory Paul Lewis,FULL,NE NWL,undergraduate day,,,1,2702
Fall 2017 - Day,BIO-102-02,BIO-16,Biology and the Environment,4,LAB,PYR 141,08/22/17,12/05/17,W,02:30PM,05:20PM,Dr. Gregory Paul Lewis,FULL,NE NWL,undergraduate day,,,2,2702
Fall 2017 - Day,BIO-102-02,BIO-16,Biology and the Environment,4,EXAM,PYR 028,12/11/17,12/11/17,M,08:30AM,11:00AM,,FULL,NE NWL,undergraduate day,,,3,2702
Fall 2017 - Day,BIO-102-03,BIO-16,Biology and the Environment,4,LEC,PYR 026,08/22/17,12/05/17,TR,10:00AM,11:15AM,Dr. Jeffrey W. Foltz,1,NE NWL,undergraduate day,,,1,2702
Fall 2017 - Day,BIO-102-03,BIO-16,Biology and the Environment,4,LAB,PYR 141,08/22/17,12/05/17,R,02:30PM,05:20PM,Dr. Jeffrey W. Foltz,1,NE NWL,undergraduate day,,,2,2702
Fall 2017 - Day,BIO-102-03,BIO-16,Biology and the Environment,4,EXAM,PYR 026,12/12/17,12/12/17,T,08:30AM,11:00AM,,1,NE NWL,undergraduate day,,,3,2702
Fall 2017 - Day,BIO-111-01,BIO-11,Foundations of Biology,4,LEC,PYR 028,08/22/17,12/05/17,TR,10:00AM,11:15AM,Dr. David M. Hollis,20,NWL,undergraduate day,,,1,2703
Fall 2017 - Day,BIO-111-01,BIO-11,Foundations of Biology,4,LAB,PYR 142,08/22/17,12/05/17,T,02:30PM,05:20PM,Dr. David M. Hollis,20,NWL,undergraduate day,,,2,2703
Fall 2017 - Day,BIO-111-01,BIO-11,Foundations of Biology,4,EXAM,PYR 028,12/12/17,12/12/17,T,08:30AM,11:00AM,,20,NWL,undergraduate day,,,3,2703
Fall 2017 - Day,BIO-111-02,BIO-11,Foundations of Biology,4,LEC,PYR 028,08/22/17,12/05/17,MWF,09:30AM,10:20AM,Dr. Alison M. Roark,27,NWL,undergraduate day,,,1,2703
Fall 2017 - Day,BIO-111-02,BIO-11,Foundations of Biology,4,LAB,PYR 142,08/22/17,12/05/17,M,02:30PM,05:20PM,Dr. Alison M. Roark,27,NWL,undergraduate day,,,2,2703
Fall 2017 - Day,BIO-111-02,BIO-11,Foundations of Biology,4,EXAM,PYR 028,12/13/17,12/13/17,W,08:30AM,11:00AM,,27,NWL,undergraduate day,,,3,2703
Fall 2017 - Day,BIO-111-03,BIO-11,Foundations of Biology,4,LEC,PYR 026,08/22/17,12/05/17,MWF,10:30AM,11:20AM,Dr. Srikripa Chandrasekaran,26,NWL,undergraduate day,,,1,2703
Fall 2017 - Day,BIO-111-03,BIO-11,Foundations of Biology,4,LAB,PYR 142,08/22/17,12/05/17,W,02:30PM,05:20PM,Dr. Srikripa Chandrasekaran,26,NWL,undergraduate day,,,2,2703
Fall 2017 - Day,BIO-111-03,BIO-11,Foundations of Biology,4,EXAM,PYR 026,12/11/17,12/11/17,M,08:30AM,11:00AM,,26,NWL,undergraduate day,,,3,2703
Fall 2017 - Day,BIO-111-04,BIO-11,Foundations of Biology,4,LEC,PYR 028,08/22/17,12/05/17,MWF,01:30PM,02:20PM,Dr. Srikripa Chandrasekaran,26,NWL,undergraduate day,,,1,2703
Fall 2017 - Day,BIO-111-04,BIO-11,Foundations of Biology,4,LAB,PYR 142,08/22/17,12/05/17,R,02:30PM,05:20PM,Dr. Srikripa Chandrasekaran,26,NWL,undergraduate day,,,2,2703
Fall 2017 - Day,BIO-111-04,BIO-11,Foundations of Biology,4,EXAM,PYR 028,12/13/17,12/13/17,W,12:00PM,02:30PM,,26,NWL,undergraduate day,,,3,2703
Fall 2017 - Day,BIO-221-01,BIO-21,Genetics,4,LEC,PYR 143,08/22/17,12/05/17,MWF,09:30AM,10:20AM,Dr. Jason Rawlings,FULL,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,1,2705
Fall 2017 - Day,BIO-221-01,BIO-21,Genetics,4,LAB,TNS 172,08/22/17,12/05/17,T,02:30PM,05:20PM,Dr. Jason Rawlings,FULL,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,2,2705
Fall 2017 - Day,BIO-221-01,BIO-21,Genetics,4,EXAM,PYR 143,12/13/17,12/13/17,W,08:30AM,11:00AM,,FULL,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,3,2705
Fall 2017 - Day,BIO-221-02,BIO-21,Genetics,4,LEC,TNS 172,08/22/17,12/05/17,MWF,10:30AM,11:20AM,Dr. Laura Thompson,1,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,1,2705
Fall 2017 - Day,BIO-221-02,BIO-21,Genetics,4,LAB,TNS 172,08/22/17,12/05/17,W,02:30PM,05:20PM,Dr. Laura Thompson,1,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,2,2705
Fall 2017 - Day,BIO-221-02,BIO-21,Genetics,4,EXAM,TNS 172,12/11/17,12/11/17,M,08:30AM,11:00AM,,1,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,3,2705
Fall 2017 - Day,BIO-221-03,BIO-21,Genetics,4,LEC,PYR 143,08/22/17,12/05/17,MWF,11:30AM,12:20PM,Dr. Mara Robu,FULL,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,1,2705
Fall 2017 - Day,BIO-221-03,BIO-21,Genetics,4,LAB,TNS 172,08/22/17,12/05/17,R,02:30PM,05:20PM,Dr. Mara Robu,FULL,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,2,2705
Fall 2017 - Day,BIO-221-03,BIO-21,Genetics,4,EXAM,PYR 143,12/11/17,12/11/17,M,12:00PM,02:30PM,,FULL,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,3,2705
Fall 2017 - Day,BIO-221-04,BIO-21,Genetics,4,LEC,PYR 143,08/22/17,12/05/17,MWF,01:30PM,02:20PM,Dr. Jeffrey W. Foltz,FULL,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,1,2705
Fall 2017 - Day,BIO-221-04,BIO-21,Genetics,4,LAB,TNS 172,08/22/17,12/05/17,M,02:30PM,05:20PM,Dr. Jeffrey W. Foltz,FULL,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,2,2705
Fall 2017 - Day,BIO-221-04,BIO-21,Genetics,4,EXAM,PYR 143,12/13/17,12/13/17,W,12:00PM,02:30PM,,FULL,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,3,2705
Fall 2017 - Day,BIO-222-01,BIO-22,Research and Analysis,4,LEC,PYR 123,08/22/17,12/05/17,MWF,09:30AM,10:20AM,Dr. John E. Quinn,FULL,,undergraduate day,any BIO course enrolled at Furman,,1,2706
Fall 2017 - Day,BIO-222-01,BIO-22,Research and Analysis,4,LAB,PYR 131,08/22/17,12/05/17,R,02:30PM,05:20PM,Dr. John E. Quinn,FULL,,undergraduate day,any BIO course enrolled at Furman,,2,2706
Fall 2017 - Day,BIO-222-01,BIO-22,Research and Analysis,4,EXAM,PYR 123,12/13/17,12/13/17,W,08:30AM,11:00AM,,FULL,,undergraduate day,any BIO course enrolled at Furman,,3,2706
Fall 2017 - Day,BIO-222-02,BIO-22,Research and Analysis,4,LEC,PYR 131,08/22/17,12/05/17,MWF,11:30AM,12:20PM,Dr. Vicky Turgeon,4,,undergraduate day,any BIO course enrolled at Furman,,1,2706
Fall 2017 - Day,BIO-222-02,BIO-22,Research and Analysis,4,LAB,PYR 131,08/22/17,12/05/17,M,02:30PM,05:20PM,Dr. Vicky Turgeon,4,,undergraduate day,any BIO course enrolled at Furman,,2,2706
Fall 2017 - Day,BIO-222-02,BIO-22,Research and Analysis,4,EXAM,PYR 131,12/11/17,12/11/17,M,12:00PM,02:30PM,,4,,undergraduate day,any BIO course enrolled at Furman,,3,2706
Fall 2017 - Day,BIO-302-01,BIO-32,Molecular Genetics,4,LEC,PYR 026,08/22/17,12/05/17,MWF,09:30AM,10:20AM,Dr. Adi D. Dubash,3,,undergraduate day,BIO-221and BIO-222,,1,2709
Fall 2017 - Day,BIO-302-01,BIO-32,Molecular Genetics,4,LAB,TNS 161,08/22/17,12/05/17,R,02:30PM,05:20PM,Dr. Adi D. Dubash,3,,undergraduate day,BIO-221and BIO-222,,2,2709
Fall 2017 - Day,BIO-302-01,BIO-32,Molecular Genetics,4,EXAM,PYR 026,12/13/17,12/13/17,W,08:30AM,11:00AM,,3,,undergraduate day,BIO-221and BIO-222,,3,2709
Fall 2017 - Day,BIO-303-01,BIO-33,Biochemistry of the Cell,4,LEC,PYR 143,08/22/17,12/05/17,MWF,10:30AM,11:20AM,Dr. Linnea Freeman,FULL,,undergraduate day,BIO-222 and CHM-120;,instructor permission required,1,2710
Fall 2017 - Day,BIO-303-01,BIO-33,Biochemistry of the Cell,4,LAB,TNS 161,08/22/17,12/05/17,W,02:30PM,05:20PM,Dr. Linnea Freeman,FULL,,undergraduate day,BIO-222 and CHM-120;,instructor permission required,2,2710
Fall 2017 - Day,BIO-303-01,BIO-33,Biochemistry of the Cell,4,EXAM,PYR 143,12/11/17,12/11/17,M,08:30AM,11:00AM,,FULL,,undergraduate day,BIO-222 and CHM-120;,instructor permission required,3,2710
Fall 2017 - Day,BIO-322-01,BIO-37,Human Physiology,4,LEC,PYR 026,08/22/17,12/05/17,MWF,11:30AM,12:20PM,Dr. Adi D. Dubash,FULL,,undergraduate day,BIO-111,,1,2713
Fall 2017 - Day,BIO-322-01,BIO-37,Human Physiology,4,LAB,PYR 027,08/22/17,12/05/17,W,02:30PM,05:20PM,Dr. Adi D. Dubash,FULL,,undergraduate day,BIO-111,,2,2713
Fall 2017 - Day,BIO-322-01,BIO-37,Human Physiology,4,EXAM,PYR 026,12/11/17,12/11/17,M,12:00PM,02:30PM,,FULL,,undergraduate day,BIO-111,,3,2713
Fall 2017 - Day,BIO-330-01,,Public Health Biology,4,LEC,PYR 143,08/22/17,12/05/17,TR,08:30AM,09:45AM,Dr. Min-Ken Liao,1,,undergraduate day,BIO-221,,1,5557
Fall 2017 - Day,BIO-330-01,,Public Health Biology,4,LAB,TNS 162,08/22/17,12/05/17,T,02:30PM,05:20PM,Dr. Min-Ken Liao,1,,undergraduate day,BIO-221,,2,5557
Fall 2017 - Day,BIO-330-01,,Public Health Biology,4,EXAM,PYR 143,12/08/17,12/08/17,F,08:30AM,11:00AM,,1,,undergraduate day,BIO-221,,3,5557
Fall 2017 - Day,BIO-340-01,BIO-40,Ecology,4,LEC,PYR 129,08/22/17,12/05/17,MWF,10:30AM,11:20AM,Dr. Wade Worthen,5,NE,undergraduate day,BIO-222,,1,2714
Fall 2017 - Day,BIO-340-01,BIO-40,Ecology,4,LAB,PYR 129,08/22/17,12/05/17,W,02:30PM,05:20PM,Dr. Wade Worthen,5,NE,undergraduate day,BIO-222,,2,2714
Fall 2017 - Day,BIO-340-01,BIO-40,Ecology,4,EXAM,PYR 129,12/11/17,12/11/17,M,08:30AM,11:00AM,,5,NE,undergraduate day,BIO-222,,3,2714
Fall 2017 - Day,BIO-343-01,BIO-43,Environmental Systems,4,LEC,PYR 103,08/22/17,12/05/17,TR,10:00AM,11:15AM,Dr. Gregory Paul Lewis,6,NE,undergraduate day,"BIO-111, CHM-111, EES-110, 111, 112 or 113.",,1,2717
Fall 2017 - Day,BIO-343-01,BIO-43,Environmental Systems,4,LAB,PYR 103,08/22/17,12/05/17,T,02:30PM,05:20PM,Dr. Gregory Paul Lewis,6,NE,undergraduate day,"BIO-111, CHM-111, EES-110, 111, 112 or 113.",,2,2717
Fall 2017 - Day,BIO-343-01,BIO-43,Environmental Systems,4,EXAM,PYR 103,12/12/17,12/12/17,T,08:30AM,11:00AM,,6,NE,undergraduate day,"BIO-111, CHM-111, EES-110, 111, 112 or 113.",,3,2717
Fall 2017 - Day,BIO-401-01,BIO-45,Applied Plant Science,4,LEC,PYR 143,08/22/17,12/05/17,TR,01:00PM,02:15PM,Dr. Laura Thompson,FULL,NE,undergraduate day,"BIO-101, BIO-102 or BIO-111",,1,2720
Fall 2017 - Day,BIO-401-01,BIO-45,Applied Plant Science,4,LAB,PYR 144,08/22/17,12/05/17,R,02:30PM,05:20PM,Dr. Laura Thompson,FULL,NE,undergraduate day,"BIO-101, BIO-102 or BIO-111",,2,2720
Fall 2017 - Day,BIO-401-01,BIO-45,Applied Plant Science,4,EXAM,PYR 143,12/12/17,12/12/17,T,12:00PM,02:30PM,,FULL,NE,undergraduate day,"BIO-101, BIO-102 or BIO-111",,3,2720
Fall 2017 - Day,BIO-435-01,,Agroecology,4,LEC,PYR 123,08/22/17,12/05/17,MWF,01:30PM,02:20PM,Dr. John E. Quinn,2,NE,undergraduate day,"BIO-101, 102, 111, EES-110, 111, 112, 113 or SUS-120",,1,5454
